query,clics,impresiones,ctr_pct,marca
valentin motors,476,1065,44.69,si
valentinmotors,119,139,85.61,si
valentin motors madrid,110,384,28.65,si
valentin motor,96,146,65.75,si
valentin motors barcelona,77,357,21.57,si
ims porsche,60,1635,3.67,no
valentin porsche,56,103,54.37,si
valentin motors (con tilde),56,100,56.00,si
ims porsche boxster,27,101,26.73,no
rodamiento ims porsche,26,96,27.08,no
