canal,sesiones,sesiones_engaged,engagement_rate_pct,tiempo_medio_seg,key_events
Organic Search,3091,2168,70.14,76,0
Direct,1269,669,52.72,42,0
Organic Social,470,396,84.26,62,0
AI Assistant,81,52,64.20,53,0
Referral,70,34,48.57,26,0
Unassigned,8,0,0.00,21,0
